"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",28,1,"SOIL_SURF","S","201A",1
"SH","201A",28,1.5,"FOLIAR_1","AGROP","201A",1.5
"SH","201A",28,1.5,"FOLIAR_2","L","201A",1.5
"SH","201A",28,1.5,"SOIL_SURF","S","201A",1.5
"SH","201A",28,2,"FOLIAR_1","N","201A",2
"SH","201A",28,2,"FOLIAR_2","L","201A",2
"SH","201A",28,2,"SOIL_SURF","S","201A",2
"SH","201A",28,2.5,"FOLIAR_1","AGROP","201A",2.5
"SH","201A",28,2.5,"FOLIAR_2","POSE","201A",2.5
"SH","201A",28,2.5,"FOLIAR_3","L","201A",2.5
"SH","201A",28,2.5,"SOIL_SURF","S","201A",2.5
"SH","201A",28,3,"FOLIAR_1","POSE","201A",3
"SH","201A",28,3,"FOLIAR_2","L","201A",3
"SH","201A",28,3,"SOIL_SURF","S","201A",3
"SH","201A",28,3.5,"FOLIAR_1","AGROP","201A",3.5
"SH","201A",28,3.5,"FOLIAR_2","BRTE","201A",3.5
"SH","201A",28,3.5,"FOLIAR_3","L","201A",3.5
"SH","201A",28,3.5,"SOIL_SURF","S","201A",3.5
"SH","201A",28,4,"FOLIAR_1","N","201A",4
"SH","201A",28,4,"FOLIAR_2","L","201A",4
"SH","201A",28,4,"SOIL_SURF","S","201A",4
"SH","201A",28,4.5,"FOLIAR_1","POSE","201A",4.5
"SH","201A",28,4.5,"FOLIAR_2","L","201A",4.5
"SH","201A",28,4.5,"SOIL_SURF","S","201A",4.5
"SH","201A",28,5,"FOLIAR_1","CHJU","201A",5
"SH","201A",28,5,"FOLIAR_2","L","201A",5
"SH","201A",28,5,"SOIL_SURF","S","201A",5
"SH","201A",28,5.5,"FOLIAR_1","BRTE","201A",5.5
"SH","201A",28,5.5,"SOIL_SURF","BRTE","201A",5.5
"SH","201A",28,6,"FOLIAR_1","AGROP","201A",6
"SH","201A",28,6,"FOLIAR_2","POSE","201A",6
"SH","201A",28,6,"FOLIAR_3","L","201A",6
"SH","201A",28,6,"SOIL_SURF","S","201A",6
"SH","201A",28,6.5,"FOLIAR_1","AGROP","201A",6.5
"SH","201A",28,6.5,"FOLIAR_2","L","201A",6.5
"SH","201A",28,6.5,"SOIL_SURF","S","201A",6.5
"SH","201A",28,7,"FOLIAR_1","ACTH7","201A",7
"SH","201A",28,7,"FOLIAR_2","POSE","201A",7
"SH","201A",28,7,"FOLIAR_3","L","201A",7
"SH","201A",28,7,"SOIL_SURF","S","201A",7
"SH","201A",28,7.5,"FOLIAR_1","N","201A",7.5
"SH","201A",28,7.5,"FOLIAR_2","L","201A",7.5
"SH","201A",28,7.5,"SOIL_SURF","S","201A",7.5
"SH","201A",28,8,"FOLIAR_1","ACTH7","201A",8
"SH","201A",28,8,"FOLIAR_2","AGROP","201A",8
"SH","201A",28,8,"FOLIAR_3","POSE","201A",8
"SH","201A",28,8,"FOLIAR_4","L","201A",8
"SH","201A",28,8,"SOIL_SURF","S","201A",8
"SH","201A",28,8.5,"FOLIAR_1","POSE","201A",8.5
"SH","201A",28,8.5,"FOLIAR_2","L","201A",8.5
"SH","201A",28,8.5,"SOIL_SURF","S","201A",8.5
"SH","201A",28,9,"FOLIAR_1","AGROP","201A",9
"SH","201A",28,9,"FOLIAR_2","L","201A",9
